participant_number,netid,sequence,recall,correct_count,total_letters,accuracy,compressibility,pattern_type,rt_seconds,strategy
"1","ta2113","ABCDCBA","ABCDCBA","7","7","1","3","MIRROR","2.528","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","EEFFGGH","EEFFGGH","7","7","1","2","GROUP","2.95","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","EFEFEFE","EFEFEFEF","7","7","1","3","REPEAT","3.866","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","BDFHJLK","BDFGHLK","5","7","0.7142857142857143","0","RANDOM","6.458","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","SPKFDLR","SPKFDLR","7","7","1","0","RANDOM","3.756","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","DLHGWXS","DLHGWXS","7","7","1","0","RANDOM","4.216","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","HIJKLMN","HIJKLMN","7","7","1","3","RUN","3.076","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","XYZYZYX","XYZXYZX","4","7","0.5714285714285714","3","MIRROR","5.601","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","ZPCMKHR","ZPCMKHR","7","7","1","0","RANDOM","3.864","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","FNBJQSK","FNBJQSK","7","7","1","0","RANDOM","4.814","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","WGLDTXV","WGLDTXV","7","7","1","0","RANDOM","4.248","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","QQRRSSA","QQRRSSA","7","7","1","2","GROUP","2.935","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","RSTUVWX","RSTUVWX","7","7","1","3","RUN","3.493","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","MWRQZTA","MWRQZTA","7","7","1","0","RANDOM","3.965","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","GHGHGHG","GHGHGHG","7","7","1","3","REPEAT","2.88","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","RLVTXPW","RLVTPXW","5","7","0.7142857142857143","0","RANDOM","3.58","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","KLMNOPQ","KLMNOPQ","7","7","1","3","RUN","3.028","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","CMFGLQT","CMLFQLT","3","7","0.42857142857142855","0","RANDOM","3.614","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","YTQBFNJ","YTQBFNJ","7","7","1","0","RANDOM","6.251","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","CDCDCDC","CDCDCDC","7","7","1","3","REPEAT","2.615","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","MNOPNM","MNOPNM","6","6","1","0","RANDOM","2.475","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","NJQHZBM","NJQHZBM","7","7","1","0","RANDOM","4.2","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","MMNNOOP","MMNNOOP","7","7","1","2","GROUP","2.923","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","ABABABA","ABABABA","7","7","1","3","REPEAT","2.933","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","KVMPZRC","KVMPZRC","7","7","1","0","RANDOM","3.929","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","QZTRPNL","QZTRPNL","7","7","1","0","RANDOM","3.568","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","ABCDEFG","ABCDEFG","7","7","1","3","RUN","3.191","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","CDEFGED","CDEFGED","7","7","1","0","RANDOM","3.174","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","XBFNQJT","ZBFNQJT","6","7","0.8571428571428571","0","RANDOM","4.765","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","HXJKQTV","HXJKQTV","7","7","1","0","RANDOM","4.307","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","HRCMPZL","HRCMPZL","7","7","1","0","RANDOM","3.218","SINGING, WHISPERING UNDER MY BREATH"
"1","ta2113","AABBCCD","AABBCCD","7","7","1","2","GROUP","2.47","SINGING, WHISPERING UNDER MY BREATH"